sentence,packed_sentence,entities
看你在不在意新加坡是那個航站,看(VE)　你(Nh)　在(VK)　不(D)　在意(VK)　新加坡(Nc)　是(SHI)　那(Nep)　個(Nf)　航站(Na),"[{'word': '新加坡', 'ner': 'GPE'}]"
星宇這部分吃到虧,星宇(Nb)　這(Nep)　部分(Neqa)　吃到(VC)　虧(Na),"[{'word': '星宇', 'ner': 'ORG'}]"
新航全部都很頂而且還兩件行李,新航(Nc)　全部(Neqa)　都(D)　很(Dfa)　頂(VH)　而且(Cbb)　還(D)　兩(Neu)　件(Nf)　行李(Na),"[{'word': '新航', 'ner': 'ORG'}, {'word': '兩', 'ner': 'CARDINAL'}]"
新航不是記重嗎,新航(Nc)　不(D)　是(SHI)　記重(VB)　嗎(T),"[{'word': '新航', 'ner': 'ORG'}]"
新航或是國泰轉機,新航(Nc)　或是(Caa)　國泰(Nb)　轉機(Na),"[{'word': '新航', 'ner': 'ORG'}, {'word': '國泰', 'ner': 'ORG'}]"
星宇吧最便宜有什麼好猶豫的,星宇(Na)　吧(T)　最(Dfa)　便宜(VH)　有(V_2)　什麼(Nep)　好(Dfa)　猶豫(VK)　的(DE),"[{'word': '星宇', 'ner': 'ORG'}]"
星宇跟應該很好選,星宇(Nb)　跟(Caa)　應該(D)　很(Dfa)　好(VH)　選(VC),"[{'word': '星宇', 'ner': 'ORG'}]"
新航不錯,新航(Nc)　不錯(VH),"[{'word': '新航', 'ner': 'ORG'}]"
星宇啊飛機坐起來都馬樣但放著新飛機不去坐去坐堆舊的幹嘛,星宇(Nb)　啊(T)　飛機(Na)　坐起來(D)　都(D)　馬樣(Na)　但(Cbb)　放(VC)　著(Di)　新(VH)　飛機(Na)　不(D)　去(D)　坐(VA)　去(D)　坐(VA)　堆(Nf)　舊(VH)　的(DE)　幹嘛(D),"[{'word': '星宇', 'ner': 'ORG'}]"
有興趣的話可以考慮新航,有(V_2)　興趣(Na)　的話(Cba)　可以(D)　考慮(VE)　新航(Nc),"[{'word': '新航', 'ner': 'ORG'}]"
星宇,星宇(Na),[]
新航很過譽,新航(Nc)　很(Dfa)　過譽(VH),"[{'word': '新航', 'ner': 'ORG'}]"
可以起唱島嶼天光,可以(D)　起唱(VC)　島嶼(Na)　天光(Na),[]
大蛤特蛤酷航勝國航賣鬧啊新航是真的不錯免費超香,大(VH)　蛤(Na)　特(D)　蛤(Na)　酷(VH)　航(Na)　勝(VH)　國航(Nb)　賣(VD)　鬧(VC)　啊(T)　新航(Nc)　是(SHI)　真的(D)　不錯(VH)　免費(VH)　超(Dfa)　香(VH),[]
你到底是要問哪三家,你(Nh)　到底(D)　是(SHI)　要(D)　問(VE)　哪(Nep)　三(Neu)　家(Nf),"[{'word': '三', 'ner': 'CARDINAL'}]"
沒會籍哪家便宜就選那家,沒(VJ)　會籍(Na)　哪(Nep)　家(Nc)　便宜(VH)　就(D)　選(VC)　那(Nep)　家(Nf),[]
選便宜的,選(VC)　便宜(VH)　的(DE),[]
反正飛不是就是,反正(D)　飛(VA)　不(D)　是(SHI)　就(D)　是(SHI),[]
新航是椅子有夠窄,新航(Nc)　是(SHI)　椅子(Na)　有夠(Dfa)　窄(VH),"[{'word': '新航', 'ner': 'ORG'}]"
難坐又熱硬要選會選的,難(VH)　坐(VA)　又(Caa)　熱(VHC)　硬(D)　要(D)　選(VC)　會(D)　選(VC)　的(DE),[]
喔對新航定是,喔(I)　對(P)　新航(Nc)　定(D)　是(SHI),[]
選便宜的啊這麼簡單,選(VC)　便宜(VH)　的(DE)　啊(T)　這麼(D)　簡單(VH),[]
驚濟艙哪有差,驚濟艙(Na)　哪(Ncd)　有(V_2)　差(VH),[]
選便宜的,選(VC)　便宜(VH)　的(DE),[]
經濟艙有差啊,經濟艙(Na)　有(V_2)　差(VH)　啊(T),[]
華航星宇差得可多了,華航(Nc)　星宇(Nc)　差(VH)　得(DE)　可(D)　多(VH)　了(T),"[{'word': '華航', 'ner': 'ORG'}]"
要飛蠻久的,要(D)　飛(VA)　蠻(Dfa)　久(VH)　的(DE),[]
和的艙壓,和(VH)　的(DE)　艙壓(Na),[]
比舒服多了,比(P)　舒服(VH)　多(Neqa)　了(Di),[]
新航我覺得很難坐,新航(Nc)　我(Nh)　覺得(VK)　很(Dfa)　難(VH)　坐(VA),"[{'word': '新航', 'ner': 'ORG'}]"
可以考慮酷航星宇便宜是因為從路沒辦法滿到現在,可以(D)　考慮(VE)　酷航(VH)　星宇(Na)　便宜(VH)　是(SHI)　因為(Cbb)　從(P)　路(Na)　沒辦法(VI)　滿(VH)　到(P)　現在(Nd),[]
當然是星宇新航跟華航是什麼咖,當然(D)　是(SHI)　星宇(Nb)　新航(Nc)　跟(P)　華航(Nc)　是(SHI)　什麼(Nep)　咖(Na),"[{'word': '星宇新航', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}]"
怎麼跟星宇比,怎麼(D)　跟(P)　星宇(Na)　比(VC),[]
新航台北都用但個人偏好新航不管什麼艙等都是,新航(Nc)　台北(Nc)　都(D)　用(VC)　但(Cbb)　個人(Nh)　偏好(VJ)　新航(Nc)　不管(Cbb)　什麼(Nep)　艙等(Na)　都(D)　是(SHI),"[{'word': '新航', 'ner': 'ORG'}, {'word': '台北', 'ner': 'GPE'}, {'word': '新航', 'ner': 'ORG'}]"
還堆人在吹,還(D)　堆(Nf)　人(Na)　在(D)　吹(VC),[]
有夠爛,有夠(Dfa)　爛(VH),[]
我推華航沒有華航的話我會選長榮新航太貴了,我(Nh)　推(VC)　華航(Nc)　沒有(VJ)　華航(Nc)　的話(Cba)　我(Nh)　會(D)　選(VC)　長榮(Nb)　新航(Nc)　太(Dfa)　貴(VH)　了(T),"[{'word': '華航', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}, {'word': '長榮新航', 'ner': 'ORG'}]"
當然星宇飛機新就是爽華航半夜那班坐到太滑很難睡國泰座位超小,當然(D)　星宇(Nb)　飛機(Na)　新(VH)　就是(D)　爽(VH)　華航(Nc)　半夜(Nd)　那(Nep)　班(Nf)　坐到(VCL)　太(Dfa)　滑(VH)　很(Dfa)　難(VH)　睡(VA)　國泰(Nb)　座位(Na)　超(Dfa)　小(VH),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}, {'word': '半夜', 'ner': 'TIME'}, {'word': '國泰', 'ner': 'ORG'}]"
整體星宇新航長榮,整體(Na)　星宇(Nb)　新航(Nc)　長榮(Nb),"[{'word': '星宇', 'ner': 'ORG'}]"
華航沒搭過,華航(Nc)　沒(D)　搭(VC)　過(Di),"[{'word': '華航', 'ner': 'ORG'}]"
又不是卡客或商務當然選星宇,又(D)　不(D)　是(SHI)　卡客(Na)　或(Caa)　商務(Na)　當然(D)　選(VC)　星宇(Na),[]
依你敘述甚至還比較便宜,依(P)　你(Nh)　敘述(VE)　甚至(D)　還(D)　比較(Dfa)　便宜(VH),[]
新加坡航線長榮飛機應該是最舊款,新加坡(Nc)　航線(Na)　長榮(Nb)　飛機(Na)　應該(D)　是(SHI)　最(Dfa)　舊款(VH),"[{'word': '新加坡', 'ner': 'GPE'}, {'word': '長榮', 'ner': 'ORG'}]"
最近星宇航空接連爆出負面新聞,最近(Nd)　星宇(Nb)　航空(Na)　接連(D)　爆出(VJ)　負面(Na)　新聞(Na),"[{'word': '星宇航空', 'ner': 'ORG'}]"
包括年終只發個月,包括(VK)　年終(Nd)　只(Da)　發(VD)　個(Nf)　月(Na),"[{'word': '個月', 'ner': 'DATE'}]"
足足比長榮少了個月,足足(Da)　比(P)　長榮(Nb)　少(VH)　了(Di)　個(Nf)　月(Na),"[{'word': '長榮', 'ner': 'PERSON'}, {'word': '個月', 'ner': 'DATE'}]"
還有疑似因為陳漢典和,還(D)　有(V_2)　疑似(VG)　因為(Cbb)　陳漢典(Nb)　和(Caa),"[{'word': '陳漢典', 'ner': 'PERSON'}]"
商務艙乘客不能上頭等艙廁所,商務艙(Na)　乘客(Na)　不能(D)　上(VCL)　頭等艙(Na)　廁所(Nc),[]
最近股價還路跌,最近(Nd)　股價(Na)　還(D)　路(VA)　跌(VA),[]
名聲和剛創立時跌落不少,名聲(Na)　和(Caa)　剛(D)　創立(VC)　時(Ng)　跌落(VA)　不少(VH),[]
大概十年前,大概(D)　十(Neu)　年(Nf)　前(Ng),"[{'word': '十年前', 'ner': 'DATE'}]"
長榮航空找了金城武幫公司拍形象廣告,長榮(Nb)　航空(Na)　找(VC)　了(Di)　金城武(Nb)　幫(Nf)　公司(Nc)　拍(VC)　形象(Na)　廣告(Na),"[{'word': '長榮航空', 'ner': 'FAC'}, {'word': '金城武幫公司', 'ner': 'ORG'}]"
結果大爆紅,結果(Dk)　大爆紅(VH),[]
連在池上喝茶的棵,連(Cbb)　在(P)　池上(Na)　喝(VC)　茶(Na)　的(DE)　棵(Nf),[]
樹都能成為景點,樹(Na)　都(D)　能(D)　成為(VG)　景點(Na),[]
連最近空姐身亡案都能船過水無痕,連(Cbb)　最近(Nd)　空姐(Na)　身亡(VH)　案(Na)　都(D)　能(D)　船(Na)　過(VB)　水(Na)　無痕(VH),[]
國外航空公司如阿聯酋曾找過羅和球王比利,國外(Nc)　航空(Na)　公司(Nc)　如(P)　阿聯酋(Nc)　曾(D)　找(VC)　過(Di)　羅(Nb)　和(Caa)　球王(Na)　比利(Nb),"[{'word': '阿聯酋', 'ner': 'GPE'}, {'word': '比利', 'ner': 'PERSON'}]"
卡達也找喬科維奇拍過廣告,卡達(Nc)　也(D)　找(VC)　喬科維奇(Nb)　拍(VC)　過(Di)　廣告(Na),"[{'word': '卡達', 'ner': 'GPE'}, {'word': '喬科維奇', 'ner': 'PERSON'}]"
如果星宇也能找金城武拍廣告,如果(Cbb)　星宇(Nb)　也(D)　能(D)　找(VC)　金城武(Nb)　拍(VC)　廣告(Na),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '金城武', 'ner': 'PERSON'}]"
是否能扭轉形象,是否(D)　能(D)　扭轉(VC)　形象(Na),[]
也演出王子復仇記,也(D)　演出(VC)　王子(Na)　復仇(VB)　記(Na),[]
建立下個黃金十,建立(VC)　下(Nes)　個(Nf)　黃金(Na)　十(Neu),[]
發廢文很有趣,發(VC)　廢文(Na)　很(Dfa)　有趣(VH),[]
你有問過在座各金城武的意見嗎,你(Nh)　有(V_2)　問(VE)　過(Di)　在座(VA)　各(Nes)　金城武(Nb)　的(DE)　意見(Na)　嗎(T),[]
所以你是嫌蔡依林不夠格,所以(Cbb)　你(Nh)　是(SHI)　嫌(VK)　蔡依林(Nb)　不(D)　夠格(VH),"[{'word': '蔡依林', 'ner': 'PERSON'}]"
洗白,洗白(VC),[]
是要洗三小,是(SHI)　要(D)　洗(VC)　三(Neu)　小(VH),"[{'word': '三', 'ner': 'CARDINAL'}]"
只能給,只(Da)　能(D)　給(VD),[]
請豬哥亮代言定可以,請(VF)　豬哥亮(Nb)　代言(VA)　定(VC)　可以(D),"[{'word': '豬哥亮', 'ner': 'PERSON'}]"
終於週末啦,終於(D)　週末(Nd)　啦(T),"[{'word': '週末', 'ner': 'DATE'}]"
星宇年終多少關旅客什麼事,星宇(Na)　年終(Nd)　多少(Neqa)　關(VJ)　旅客(Na)　什麼(Nep)　事(Na),[]
軟硬體服務到位才是重點,軟硬體(Na)　服務(VC)　到位(VA)　才(Da)　是(SHI)　重點(Na),[]
腿了,腿(Na)　了(T),[]
已經找蔡依林了哦,已經(D)　找(VC)　蔡依林(Nb)　了(T)　哦(T),"[{'word': '蔡依林', 'ner': 'PERSON'}]"
吃的命操大老闆的心,吃(VC)　的(DE)　命(Na)　操(VC)　大(VH)　老闆(Na)　的(DE)　心(Na),[]
什麼時後黑過,什麼(Nep)　時後(Na)　黑(VH)　過(Di),[]
回去數字版吧,回去(VA)　數字版(Na)　吧(T),[]
找豬哥亮我就推,找(VC)　豬哥亮(Nb)　我(Nh)　就(D)　推(VC),[]
都找了蔡依林了再找金城武今年是連個月都不想發,都(D)　找(VC)　了(Di)　蔡依林(Nb)　了(T)　再(D)　找(VC)　金城武(Nb)　今年(Nd)　是(SHI)　連(Cbb)　個(Nf)　月(Na)　都(D)　不(D)　想(VE)　發(VH),"[{'word': '蔡依林', 'ner': 'PERSON'}, {'word': '金城武', 'ner': 'PERSON'}, {'word': '今年', 'ner': 'DATE'}]"
松指部航廈包機的那家比較需要,松指部(Nc)　航廈(Na)　包機(Na)　的(DE)　那(Nep)　家(Nf)　比較(Dfa)　需要(VK),[]
洗什麼,洗(VC)　什麼(Nep),[]
辛苦你寫了大篇廢文,辛苦(VHC)　你(Nh)　寫(VC)　了(Di)　大(VH)　篇(Nf)　廢文(Na),[]
名人代言,名人(Na)　代言(VA),[]
只服志玲姐姐,只(Da)　服(VJ)　志玲(Nb)　姐姐(Na),"[{'word': '志玲', 'ner': 'PERSON'}]"
猶記那個公司主管只敢搭綠地球出差的時候,猶(D)　記(VK)　那(Nep)　個(Nf)　公司(Nc)　主管(Na)　只(Da)　敢(VL)　搭(VC)　綠地球(Na)　出差(VA)　的(DE)　時候(Na),[]
桌上本小花志玲姐姐桌曆,桌上本(Na)　小(Na)　花志玲(Nb)　姐姐(Na)　桌曆(Na),"[{'word': '花志玲', 'ner': 'PERSON'}]"
可以讓他們羨慕整年,可以(D)　讓(VL)　他們(Nh)　羨慕(VJ)　整(Neqa)　年(Nf),[]
廢文,廢文(Na),[]
找誰都沒用諧星讓形象大傷不如給員工福利,找(VC)　誰(Nh)　都(D)　沒用(VH)　諧星(Na)　讓(VL)　形象(Na)　大傷(VH)　不如(VJ)　給(VD)　員工(Na)　福利(Na),[]
謝謝,謝謝(VJ),[]
我目前沒有意願,我(Nh)　目前(Nd)　沒有(VJ)　意願(Na),[]
樓上野生金城武,樓上(Nc)　野生(A)　金城武(Nb),"[{'word': '金城武', 'ner': 'PERSON'}]"
陳漢典那個不就是頭等艙規範嗎還在炒啊,陳漢典(Nb)　那(Nep)　個(Nf)　不(D)　就(D)　是(SHI)　頭等艙(Na)　規範(Na)　嗎(T)　還(D)　在(P)　炒(VC)　啊(T),"[{'word': '陳漢典', 'ner': 'PERSON'}]"
你自己覺得黑,你(Nh)　自己(Nh)　覺得(VK)　黑(VH),[]
引述之銘言,引述(VC)　之(DE)　銘言(Na),[]
標題情報星宇航空增租減租,標題(Na)　情報(Na)　星宇(Nb)　航空(Na)　增租(VD)　減租(VD),"[{'word': '星宇航空', 'ner': 'ORG'}]"
時間,時間(Na),[]
星宇航空增租減租,星宇(Nb)　航空(Na)　增租(VD)　減租(VB),"[{'word': '星宇航空', 'ner': 'ORG'}]"
過夜沒人貼就貼下,過夜(VA)　沒(VJ)　人(Na)　貼(VC)　就(D)　貼下(VC),[]
公開資訊觀測站,公開(VHC)　資訊(Na)　觀測站(Nc),[]
原合約租賃架型客機,原(A)　合約(Na)　租賃(VC)　架型(Na)　客機(Na),[]
本次併調整為架,本(Nes)　次(Nf)　併(VC)　調整為(VG)　架(VC),[]
增租,增(VJ)　租(VD),[]
先前下單記者會中,先前(Nd)　下單(VA)　記者會(Na)　中(Ng),[]
董就說他想增租架窄體客機,董(Nb)　就(D)　說(VE)　他(Nh)　想(VE)　增租(VJ)　架(Nf)　窄體(VH)　客機(Na),"[{'word': '董', 'ner': 'PERSON'}]"
交機速度可能比預期中慢,交(VD)　機(Na)　速度(Na)　可能(D)　比(P)　預期(Na)　中(Ng)　慢(VH),[]
因此與租機公司喬出新租賃合約,因此(Cbb)　與(P)　租(VD)　機(Na)　公司(Nc)　喬出(VC)　新(VH)　租賃(VC)　合約(Na),[]
增方案,增(VJ)　方案(Na),[]
星宇航空於年與簽了架租機合約,星宇(Nb)　航空(Na)　於(P)　年(Na)　與(P)　簽(VC)　了(Di)　架(Nf)　租(VD)　機(Na)　合約(Na),"[{'word': '星宇航空', 'ner': 'ORG'}]"
依據公告訊息,依據(P)　公告(Na)　訊息(Na),[]
快要返台的,快要(D)　返台(VA)　的(DE),"[{'word': '台', 'ner': 'GPE'}]"
將會是租機的最後架,將(D)　會(D)　是(SHI)　租(Nv)　機(Na)　的(DE)　最後(Nd)　架(VC),[]
剩下架就不交了,剩下(VJ)　架(Na)　就(D)　不(D)　交(VD)　了(Di),[]
欲增租的架,欲(VK)　增租(VJ)　的(DE)　架(VC),[]
雖還沒公告交易相對人,雖(Cbb)　還(D)　沒(D)　公告(VE)　交易(Na)　相對人(Na),[]
但有相當的機率顯示,但(Cbb)　有(V_2)　相當(VH)　的(DE)　機率(Na)　顯示(VK),[]
有可能雙方合意取消後續的架交機,有(V_2)　可能(Na)　雙方(Nh)　合意(VH)　取消(VC)　後續(A)　的(DE)　架(VC)　交機(VD),[]
改以架替代,改以(P)　架(VC)　替代(VJ),[]
星宇航空也與空巴簽訂購買架合約星宇航空倒是沒有揭露,星宇(Nb)　航空(Na)　也(D)　與(P)　空巴(Nc)　簽訂(VC)　購買架(VC)　合約(Na)　星宇(Nb)　航空(Na)　倒是(D)　沒有(D)　揭露(VC),"[{'word': '星宇航空', 'ner': 'ORG'}, {'word': '空巴', 'ner': 'ORG'}, {'word': '星宇航空', 'ner': 'ORG'}]"
這是否取代與的租機合約,這(Nep)　是否(D)　取代(VC)　與(P)　的(DE)　租機(VD)　合約(Na),[]
或是另個全新的購機合約,或是(Caa)　另(Nes)　個(Nf)　全新(VH)　的(DE)　購機(VA)　合約(Na),[]
事後看來,事(Na)　後(Ng)　看來(D),[]
可能早在左右大概就知道與的架有產生變故,可能(D)　早(D)　在(P)　左右(Ncd)　大概(D)　就(D)　知道(VK)　與(P)　的(DE)　架(Na)　有(V_2)　產生(VHC)　變故(Na),[]
此外,此外(Cbb),[]
也是的租機供應商之星宇也有可能得益,也(D)　是(SHI)　的(DE)　租機(Nv)　供應商(Na)　之(DE)　星宇(Nb)　也(D)　有(V_2)　可能(D)　得益(VJ),[]
於的延遲交付,於(P)　的(DE)　延遲(VHC)　交付(VD),[]
進而搶到空出來的些租機公司,進而(Cbb)　搶到(VC)　空出來(VC)　的(DE)　些(Nf)　租(VD)　機(Na)　公司(Nc),[]
星宇航空承租架型客機之相關訊息,星宇(Nb)　航空(Na)　承租(VD)　架型(VC)　客機(Na)　之(DE)　相關(VH)　訊息(Na),"[{'word': '星宇航空', 'ner': 'ORG'}]"
事實發生日,事實(Na)　發生(VJ)　日(Na),[]
交易單位數量架,交易(Na)　單位(Na)　數量架(Na),[]
交易總金額每架約美金,交易(Na)　總金額(Na)　每(Nes)　架(Nf)　約(Da)　美金(Na),[]
萬元,萬(Neu)　元(Nf),"[{'word': '萬元', 'ner': 'MONEY'}]"
並將依實際年度調幅變動,並(Cbb)　將(D)　依(P)　實際(VH)　年度(Na)　調幅(Na)　變動(VHC),[]
交易對象,交易(Na)　對象(Na),[]
公開資訊觀測站,公開(VHC)　資訊(Na)　觀測站(Nc),[]
看來是長租年,看來(D)　是(SHI)　長(VH)　租年(Nd),[]
交機日期沒提到,交機(VD)　日期(Na)　沒(D)　提到(VE),[]
但既然是來自租機公司,但(Cbb)　既然(Cbb)　是(SHI)　來自(VJ)　租(Nv)　機(Na)　公司(Nc),[]
應該是年,應該(D)　是(SHI)　年(Na),[]
不太會拖到之後,不(D)　太(Dfa)　會(D)　拖到(VC)　之後(Ng),[]
精神號,精神號(Nb),[]
個貴在內裝,個(Nf)　貴(VH)　在(P)　內裝(Na),[]
個號稱人多熱鬧,個(Nf)　號稱(VG)　人(Na)　多(Dfa)　熱鬧(VH),[]
兩者更有千秋,兩(Nh)　者(Na)　更(Dfa)　有(V_2)　千秋(Nd),"[{'word': '兩', 'ner': 'CARDINAL'}, {'word': '千秋', 'ner': 'PERSON'}]"
很難選擇哩,很(Dfa)　難(VH)　選擇(VC)　哩(T),[]
星宇航空月營收億,星宇(Nb)　航空(Na)　月(Na)　營收(Na)　億(Neu),"[{'word': '星宇航', 'ner': 'ORG'}]"
史上最高,史(Na)　上(Ng)　最(Dfa)　高(VH),[]
長榮航空月營收億史上最高,長榮(Nb)　航空(Na)　月(Na)　營收(Na)　億(Neu)　史(Na)　上(Ng)　最(Dfa)　高(VH),"[{'word': '長榮航空', 'ner': 'ORG'}]"
至於華航那架,至於(P)　華航(Nc)　那(Nep)　架(Nf),"[{'word': '華航', 'ner': 'ORG'}]"
飛來飛去到處停放月交機機率看來,飛來飛去(VA)　到處(D)　停放(VC)　月交機(Na)　機率(Na)　看來(D),[]
肯定是自有機精神號吧第三架都在組裝了,肯定(VK)　是(SHI)　自有機(P)　精神號(Nb)　吧(T)　第三(Neu)　架(Nf)　都(D)　在(P)　組裝(VC)　了(Di),"[{'word': '第三', 'ner': 'ORDINAL'}]"
第二架剛噴塗完,第二(Neu)　架(Nf)　剛(D)　噴塗完(VC),"[{'word': '第二', 'ner': 'ORDINAL'}]"
繼續等,繼續(VF)　等(VC),[]
最玄的是第二架又去了認證還沒完,最(Dfa)　玄(VH)　的(DE)　是(SHI)　第二(Neu)　架(Nf)　又(D)　去(VCL)　了(Di)　認證(VA)　還(D)　沒完(VH),"[{'word': '第二', 'ner': 'ORDINAL'}]"
然後都要回來了那兩架還在卡,然後(D)　都(D)　要回來(D)　了(Di)　那(Nep)　兩(Neu)　架(Nf)　還(D)　在(P)　卡(Na),"[{'word': '兩', 'ner': 'CARDINAL'}]"
還是因為座椅的問題沒辦法交付,還是(Caa)　因為(Cbb)　座椅(Na)　的(DE)　問題(Na)　沒辦法(VI)　交付(VD),[]
若沒意外,若(Cbb)　沒(VJ)　意外(Na),[]
華航今年應該可以交付到架,華航(Nc)　今年(Nd)　應該(D)　可以(D)　交付到(VD)　架(VC),"[{'word': '華航', 'ner': 'ORG'}, {'word': '今年', 'ner': 'DATE'}]"
第二架在波特蘭噴漆謎啊都不回來,第二(Neu)　架(Nf)　在(P)　波特蘭(Nc)　噴漆(VC)　謎(Na)　啊(T)　都(D)　不(D)　回來(VA),"[{'word': '第二', 'ner': 'ORDINAL'}, {'word': '波特蘭', 'ner': 'GPE'}]"
台中要再加碼嗎,台中(Nc)　要(D)　再(D)　加碼(VA)　嗎(T),"[{'word': '台中', 'ner': 'GPE'}]"
好像架了,好像(D)　架(VC)　了(Di),[]
台中幾乎可以卻定月中會去第五架了,台中(Nc)　幾乎(Da)　可以(D)　卻(D)　定(VC)　月中(Nd)　會(D)　去(VCL)　第五(Neu)　架(Nf)　了(T),"[{'word': '台中', 'ner': 'GPE'}, {'word': '月中', 'ner': 'DATE'}, {'word': '第五', 'ner': 'ORDINAL'}]"
蛤又是喔短點的雙走道不好麻,蛤(Na)　又(D)　是(SHI)　喔(T)　短(VH)　點(Dfb)　的(DE)　雙走道(A)　不(D)　好(Dfa)　麻(VH),[]
好吧繼續等吧反正總有天會回來的吧,好(VH)　吧(T)　繼續(VF)　等(VC)　吧(T)　反正(D)　總有天(D)　會(D)　回來(VA)　的(T)　吧(T),[]
台中要感謝華信的新機宣言啊發佈之後馬上大動作加碼,台中(Nc)　要(D)　感謝(VK)　華信(Nb)　的(DE)　新機(Na)　宣言(Na)　啊(T)　發佈(VE)　之後(Ng)　馬上(D)　大(VH)　動作(Na)　加碼(VA),"[{'word': '台中', 'ner': 'GPE'}, {'word': '華信', 'ner': 'ORG'}]"
